size,segment_size,method,recall@1_mean,recall@5_mean,recall@10_mean,build_time_s_mean,route_us_per_query_mean,centroid_mem_mb_mean,recall@1_std,recall@5_std,recall@10_std,build_time_s_std,route_us_per_query_std,centroid_mem_mb_std,recall@1_ci95,recall@5_ci95,recall@10_ci95,build_time_s_ci95,route_us_per_query_ci95,centroid_mem_mb_ci95
1000000,500,HMRC-3,0.14966666666666667,0.395,0.459,13.583077271779379,364.56894874572754,9.216,0.013382202110763883,0.005408326913196005,0.009539392014169465,3.77208855971103,56.39124318258379,0.0,0.015143387262359033,0.006120098038430454,0.01079483827268077,4.268520036898291,63.81269888554871,0.0
1000000,500,Mean,0.0775,0.23816666666666664,0.32083333333333336,1.9120025634765625,96.50035699208577,3.0720000000000005,0.0075498344352707475,0.001607275126832162,0.009543758868146944,0.35375754633571604,14.41879569729834,0.0,0.008543441929339719,0.0018188030251911438,0.010799779833146813,0.40031434862538284,16.316403331361812,0.0
1000000,500,kRt-b2d2,0.14783333333333334,0.3855,0.45733333333333337,24.008785486221313,552.0896116892496,12.288000000000002,0.013250786140200643,0.011821590417536885,0.009776672917374983,6.450303560205838,194.64450938839778,0.0,0.014994676092237248,0.013377388883236266,0.011063346891625726,7.299205613805698,220.26099738768124,0.0
1000000,2000,HMRC-10,0.24833333333333332,0.40399999999999997,0.42650000000000005,24.175332069396973,279.13522720336914,7.68,0.008020806277010654,0.007053367989832912,0.006873863542433754,2.7044429525804765,35.913177515990775,0.0,0.009076396739773885,0.007981637258942102,0.0077785088545298895,3.060365298693436,40.639586104371695,0.0
1000000,2000,HMRC-3,0.2555,0.4013333333333333,0.4166666666666667,9.645332415898642,81.04558785756429,2.304,0.008411301920630363,0.011930353445448832,0.008779711460710635,1.3349587638761695,12.98064441330117,0.0,0.009518284159097867,0.013500465835584233,0.009935178799487115,1.510648051294675,14.688981950697515,0.0
1000000,2000,HMRC-30,0.2635,0.4286666666666667,0.4709999999999999,50.17175404230753,839.3606742223104,23.040000000000003,0.008888194417315597,0.0040104031385053305,0.0030413812651491194,5.409833750417514,52.11005004731915,0.0,0.010057938821315903,0.004538198369886946,0.0034416468925985723,6.121803185266362,58.968072787716984,0.0
1000000,2000,Mean,0.16949999999999998,0.331,0.37566666666666665,0.6510696411132812,18.27847957611084,0.7680000000000001,0.003968626966596883,0.010404326023342408,0.0075718777944003765,0.031890018985071995,0.8018068479467345,0.0,0.004490924181056719,0.011773603243414203,0.008568386338421295,0.03608695364916745,0.9073298630202598,0.0
1000000,2000,kRt-b2d2,0.24433333333333332,0.3993333333333333,0.41766666666666663,22.637998580932617,139.5041545232137,3.0720000000000005,0.004536885862938741,0.0098657657246325,0.008976822006330164,7.193872664751729,23.143474767332982,0.0,0.005133969657530569,0.01116416489388158,0.010158230379571271,8.14063326624019,26.1893071183299,0.0
1000000,10000,HMRC-10,0.215,0.2725,0.3235,30.39419213930766,61.364213625590004,1.5360000000000003,0.008660254037844393,0.008717797887081356,0.012854960132182448,2.016739867107502,2.818702217925022,0.0,0.009800000000000008,0.009865116995420456,0.01454675679776539,2.282155998113534,3.1896618291974375,0.0
1000000,10000,HMRC-3,0.21733333333333335,0.2705,0.31616666666666665,13.412868738174438,16.695658365885418,0.46080000000000004,0.009517527690179495,0.007810249675906661,0.002254624876411456,0.9465018774082479,1.127107942221372,0.0,0.010770096460931904,0.00883812951553288,0.002551348227462851,1.0710677028718707,1.2754427047406576,0.0
1000000,10000,HMRC-30,0.21483333333333332,0.2886666666666666,0.3459999999999999,54.5971470673879,203.5169998804728,4.608,0.008607167555783574,0.006825198409814425,0.0034641016151377574,5.088308121387128,9.70699900385604,0.0,0.009739926990372046,0.007723439072790769,0.003920000000000003,5.7579626846611305,10.98450343628344,0.0
1000000,10000,Mean,0.1718333333333333,0.2511666666666667,0.29616666666666663,0.38222185770670575,4.260500272115071,0.1536,0.005507570547286095,0.0050579969684978405,0.007767453465154028,0.00495208771582487,0.27167722114123666,0.0,0.006232402782590704,0.005723662386192177,0.008789701044088157,0.00560381478453297,0.3074317168468217,0.0
1000000,10000,kRt-b2d2,0.2145,0.2733333333333334,0.31516666666666665,24.87560494740804,23.3686367670695,0.6144,0.008888194417315597,0.009776672917374983,0.011676186592091332,3.6292762646868297,1.6398688172697151,0.0,0.010057938821315903,0.011063346891625726,0.013212848965222372,4.106912711625703,1.8556862580492328,0.0
1000000,50000,HMRC-3,0.10233333333333333,0.30116666666666664,0.5365000000000001,22.897366841634113,6.952643394470215,0.09216,0.016312060977489426,0.02328805129961142,0.012379418403140031,3.1545690915567115,1.040441216967819,0.0,0.018458834680926576,0.026352910865995637,0.014008630673029253,3.56973097580758,1.17737007271701,0.0
1000000,50000,Mean,0.09899999999999999,0.29666666666666663,0.5379999999999999,0.37026262283325195,2.2844870885213218,0.03072,0.0051961524227066265,0.005923118547972269,0.002783882181415056,0.03058650420137875,0.1792743768154329,0.0,0.005879999999999994,0.006702639612703156,0.0031502592485910825,0.03461188781110186,0.2028680550378575,0.0
1000000,50000,kRt-b2d2,0.10333333333333333,0.308,0.5406666666666666,33.93298363685608,7.636427879333496,0.12288,0.012189476335484367,0.00793725393319378,0.00828150549920319,2.868749540129015,0.25857899105798354,0.0,0.013793690989402047,0.008981848362113454,0.009371405681350245,3.24629570569296,0.29260967418445294,0.0
