strategy,method,real_recall@1_mean,pseudo_recall@1_mean,real_recall@5_mean,pseudo_recall@5_mean,real_recall@10_mean,pseudo_recall@10_mean,real_recall@20_mean,pseudo_recall@20_mean,e2e_hit10@nprobe1_mean,e2e_hit10@nprobe5_mean,e2e_hit10@nprobe10_mean,real_recall@1_std,pseudo_recall@1_std,real_recall@5_std,pseudo_recall@5_std,real_recall@10_std,pseudo_recall@10_std,real_recall@20_std,pseudo_recall@20_std,e2e_hit10@nprobe1_std,e2e_hit10@nprobe5_std,e2e_hit10@nprobe10_std,real_recall@1_ci95,pseudo_recall@1_ci95,real_recall@5_ci95,pseudo_recall@5_ci95,real_recall@10_ci95,pseudo_recall@10_ci95,real_recall@20_ci95,pseudo_recall@20_ci95,e2e_hit10@nprobe1_ci95,e2e_hit10@nprobe5_ci95,e2e_hit10@nprobe10_ci95
semi,HMRC-3,0.16859791425260715,0.2786666666666667,0.49015063731170333,0.7173333333333334,0.6300695249130938,0.806,0.7345500193124758,0.8386666666666667,0.16083333333333336,0.48016666666666663,0.6125,0.008280188834273706,0.014250730975403785,0.011877172653534218,0.006211548384528079,0.002088963659017373,0.013313526955694386,0.008883214084284965,0.012887332281482242,0.003752776749732574,0.005392896562454483,0.0017320508075688787,0.009369915734721361,0.016126220195004697,0.0134402861043101,0.007029028698507677,0.0023638849124876108,0.015065674008597646,0.010052303043948758,0.014583389333225855,0.004246666666666675,0.00610263695280801,0.0019600000000000017
semi,HMRC-4,0.16405948242564694,0.2655,0.4870606411741985,0.7203333333333334,0.6255310930861336,0.8136666666666666,0.7256662804171494,0.8518333333333333,0.16533333333333333,0.4761666666666666,0.6098333333333333,0.003456069943641032,0.012816005617976321,0.0089818585973221,0.01351234003913953,0.0054836890168021716,0.010774197572595973,0.008290317509417255,0.014835205874315818,0.008251262529657702,0.002362907813126312,0.006171169527191188,0.003910911308106676,0.014502675615209796,0.010163929818814657,0.015290652191598773,0.006205378286805739,0.012192152302927375,0.009381377409629861,0.01678761580583872,0.009337182539598208,0.0026738819054783424,0.006983335719967751
semi,Mean,0.10158362302047115,0.1235,0.37311703360370796,0.43966666666666665,0.5318655851680186,0.6111666666666666,0.6730397837002703,0.7418333333333335,0.09833333333333333,0.36483333333333334,0.5165000000000001,0.008816837955707568,0.007000000000000006,0.012395766451526442,0.004536885862938742,0.014423394304176832,0.01578237413488017,0.014658092843193074,0.019107153983085337,0.00854887906882144,0.011814539065631537,0.01956399754651386,0.009977191383572986,0.007921245693281672,0.014027130231297025,0.0051339696575305694,0.016321607144923433,0.017859437592239933,0.016587193543695134,0.021621780171340622,0.009673967358041088,0.013369409527391686,0.022138747329813715
semi,kRt-b2d2,0.16830822711471605,0.24783333333333335,0.48628814213982235,0.7016666666666667,0.6324835843955195,0.807,0.734839706450367,0.8448333333333333,0.169,0.47100000000000003,0.6098333333333333,0.01275610594223874,0.011273124382057229,0.01535159626842862,0.008082903768654752,0.004850277464223358,0.011947803145348556,0.011299036289154124,0.010420332688227067,0.016530275254816543,0.019981241202688075,0.01185678427455501,0.014434892751143328,0.012756741137314193,0.01737196654661273,0.009146666666666657,0.005488605639242913,0.013520212029895626,0.01278606322052791,0.011791716489882973,0.018705767381568005,0.022610902974745013,0.013417214481569807
timebatch,HMRC-3,0.048377752027809966,0.07033333333333334,0.14397450753186558,0.18400000000000002,0.21436848203939748,0.26466666666666666,0.31517960602549244,0.39666666666666667,0.04883333333333333,0.1425,0.21133333333333335,0.0,0.008082903768654765,0.0,0.017298843892006203,0.0,0.02432248616678264,0.0,0.01905474569059721,0.0059651767227244246,0.0047696960070847125,0.007522189397597841,0.0,0.009146666666666673,0.0,0.019575484668329427,0.0,0.0275234841140757,0.0,0.021562474605460076,0.006750232917792127,0.005397419136340362,0.008512158624252987
timebatch,HMRC-4,0.06199304750869061,0.08383333333333333,0.1555619930475087,0.205,0.23464658169177288,0.2981666666666667,0.3334298957126303,0.42616666666666664,0.0635,0.15483333333333335,0.23650000000000002,0.0,0.010598742063723098,0.0,0.019981241202688082,0.0,0.02776838730163013,0.0,0.02547711391294811,0.00396862696659689,0.009802210635021747,0.007858116822750847,0.0,0.011993605703781404,0.0,0.022610902974745023,0.0,0.03142288833177356,0.0,0.028830068408598086,0.004490924181056727,0.011092245539615108,0.008892296291359908
timebatch,Mean,0.0466396292004635,0.04833333333333334,0.14484356894553882,0.13999999999999999,0.2140787949015064,0.21383333333333332,0.3093858632676709,0.32433333333333336,0.04583333333333334,0.14,0.20683333333333334,0.0,0.0037527767497325714,0.0,0.006062177826491063,0.0,0.00557524289455925,0.0,0.0098657657246325,0.0017559422921421249,0.002598076211353302,0.00503322295684716,0.0,0.004246666666666671,0.0,0.006859999999999992,0.0,0.0063089812525038095,0.0,0.01116416489388158,0.0019870357598974204,0.0029399999999999843,0.00569562795289314
timebatch,kRt-b2d2,0.05726149092313634,0.08633333333333333,0.16125917342603321,0.20433333333333334,0.23078408651989182,0.28983333333333333,0.3344920818848977,0.417,0.058666666666666666,0.15483333333333335,0.22383333333333333,0.0013690080029700505,0.013768926368215258,0.002323524413966004,0.011590225767142475,0.005627192848332732,0.0041932485418030435,0.003456069943641033,0.00876070773396761,0.002516611478423584,0.0027537852736430517,0.004252450274057696,0.0015491783925135208,0.015581006956476783,0.0026293153939090023,0.01311557513459136,0.006367768159303006,0.004745107421802426,0.003910911308106678,0.009913674058255759,0.0028478139764465745,0.0031162013912953567,0.00481210048846771
