topics_per_segment,method,recall
1,Baseline,1.0
1,HMRC-3,1.0
2,Baseline,0.7345
2,HMRC-3,0.8
3,Baseline,0.644
3,HMRC-3,0.8125
5,Baseline,0.4915
5,HMRC-3,0.627
7,Baseline,0.3995
7,HMRC-3,0.489
10,Baseline,0.3085
10,HMRC-3,0.4045
