strategy,method,family,nominal_budget,recall@1_mean,recall@5_mean,recall@10_mean,avg_reps_per_seg_mean,build_time_s_mean,route_us_per_query_mean,recall@1_std,recall@5_std,recall@10_std,avg_reps_per_seg_std,build_time_s_std,route_us_per_query_std,recall@1_ci95,recall@5_ci95,recall@10_ci95,avg_reps_per_seg_ci95,build_time_s_ci95,route_us_per_query_ci95
coherent,Mean,mean,1,0.9465999999999999,0.9999,1.0,1.0,0.06732344627380371,11.382031440734863,0.0037483329627982617,0.00022360679774996675,0.0,0.0,0.0149377191054903,0.7827683070173979,0.0032855587043910802,0.0001959999999999893,0.0,0.0,0.013093488096680076,0.6861266728883442
coherent,HMRC-3,flat,3,0.8400000000000001,0.9991,1.0,2.8,2.3951303005218505,30.43539524078369,0.006855654600401054,0.0005477225575051395,0.0,0.0374165738677394,0.1938760502843791,2.5739153286365997,0.006009246208968318,0.0004800999895854796,0.0,0.03279707304013575,0.1699398508368553,2.2561362601187778
coherent,HMRC-4,flat,4,0.8337,0.9989000000000001,1.0,3.7,2.8954617500305178,39.992403984069824,0.010610136662644846,0.0008944271909998608,0.0,0.056124860801609236,0.6096838425589942,2.847766472914741,0.009300194836668758,0.0007839999999999517,0.0,0.04919560956020374,0.5344114505641147,2.4961773716530127
coherent,kRt-b2d2,hier,4,0.8317,0.9994,1.0,3.689,3.889823865890503,42.74308681488037,0.004117037770047761,0.000547722557505115,0.0,0.054703747586431345,0.34707594991568974,4.133170627542113,0.0036087427173462886,0.0004800999895854581,0.0,0.04794994890508221,0.3042254836077835,3.6228837904295346
coherent,HMRC-9,flat,9,0.8379,0.9984999999999999,1.0,8.166,3.161904001235962,96.5599775314331,0.007511657606680428,0.0014142135623730842,0.0,0.13102480681153508,0.5256145968056785,4.869160150564644,0.006584258196638399,0.001239612842785995,0.0,0.11484830690959301,0.4607215076220672,4.268007051278297
coherent,kRt-b3d2,hier,9,0.8362,0.9987999999999999,1.0,8.120000000000001,4.148087501525879,95.47755718231201,0.0054726593170048255,0.0007582875444052013,0.0,0.14265342617687135,0.1438732326305903,7.4786218974434435,0.004796997394203981,0.0006646683383463168,0.0,0.12504124119665505,0.12611044869541915,6.555301120755184
coherent,HMRC-16,flat,16,0.8595,0.9984999999999999,1.0,14.332999999999998,3.723273754119873,185.17932891845703,0.007449832212875689,0.0009354143466935294,0.0,0.2553331157527357,0.5742080522989627,5.11330850749142,0.006530065849591428,0.0008199268260034325,0.0,0.22380934386213622,0.503315549361948,4.482012521770093
coherent,kRt-b4d2,hier,16,0.8561,0.9984,1.0,14.23,4.2681351661682125,176.20272636413574,0.00849558708977784,0.001516575088810306,0.0,0.2593742469868585,0.08797207555434373,13.792423245153728,0.00744671041467304,0.001329336676692549,0.0,0.22735155156717074,0.07711092409601394,12.089592012639898
random,Mean,mean,1,0.0216,0.0779,0.1387,1.0,0.05762181282043453,9.508681297302246,0.002770379035439014,0.004463742824133131,0.008743569065318804,0.0,0.011419116064955288,0.811371232846895,0.002428344291899318,0.003912643096424719,0.0076640762000387205,0.0,0.01000929654756637,0.7111982428003192
random,HMRC-3,flat,3,0.028000000000000004,0.0965,0.1635,3.0,1.6475919723510741,29.523181915283203,0.003952847075210472,0.0057008771254956885,0.01204159457879229,0.0,0.1485014354675413,1.8750269703044902,0.003464823227814081,0.004997039123320927,0.01055492302198362,0.0,0.13016724734899446,1.6435336039765571
random,HMRC-4,flat,4,0.0338,0.1055,0.1787,4.0,1.639091396331787,35.91184616088867,0.0034749100707788094,0.010056092680559382,0.010497618777608565,0.0,0.1089726340753075,3.2273301974662782,0.003045892972512329,0.008814553874133392,0.00920156856193551,0.0,0.09551872525200221,2.8288796452899874
random,kRt-b2d2,hier,4,0.0328,0.1109,0.18,4.0,2.562247610092163,38.556528091430664,0.003053686296920494,0.01256184699795376,0.009572094859538324,0.0,0.31413820018319016,4.550722929112466,0.0026766740556145416,0.011010944373667496,0.008390311078857566,0.0,0.27535427301610765,3.9888845199748726
random,HMRC-9,flat,9,0.0685,0.1928,0.2879,9.0,2.253254699707031,88.98777961730957,0.0035881750236018252,0.0066951474965082055,0.005605800567269575,0.0,0.7001348941505481,9.317352840969392,0.0031451740810327124,0.0058685555292593145,0.0049137008455948875,0.0,0.6136952929621762,8.167019854521271
random,kRt-b3d2,hier,9,0.0699,0.19290000000000002,0.2869,9.0,2.60272421836853,89.82644081115723,0.0017818529681205436,0.0043358966777357665,0.007963981416351993,0.0,0.4270220179679478,15.623426587350519,0.001561862990149902,0.0038005810082144074,0.006980737496855179,0.0,0.3743013019456634,13.69453720519098
random,HMRC-16,flat,16,0.12940000000000002,0.2951,0.4048999999999999,16.0,2.714820384979248,172.8306531906128,0.0071798328671355445,0.009857738077267024,0.0073603668386840425,0.0,0.4504247233063734,14.439596597178168,0.006293400988336899,0.008640688398501599,0.0064516459915280365,0.0,0.39481467762335715,12.656864467114291
random,kRt-b4d2,hier,16,0.1366,0.31179999999999997,0.42189999999999994,16.0,2.794175624847412,170.27747631072998,0.008287038071591073,0.008066907709897294,0.012054044964243336,0.0,0.47379031630547064,26.321757958428652,0.007263909140400912,0.0070709563709586195,0.01056583626600375,0.0,0.4152955229013424,23.07203811227828
semi,Mean,mean,1,0.12050000000000001,0.4262,0.5993999999999999,1.0,0.05496406555175776,9.071779251098633,0.005689903338370516,0.018064467885880287,0.013310709973551405,0.0,0.0027191659955790428,0.5888846033248193,0.004987420174799789,0.01583420424271457,0.011667351713220983,0.0,0.0023834540832224876,0.5161801135434194
semi,HMRC-3,flat,3,0.27,0.7111,0.7971,3.0,1.1437112808227539,28.427696228027344,0.011096170510586053,0.017633065530417547,0.011976017702057732,0.0,0.02281284614737754,0.6051569991489782,0.009726222288226795,0.01545606340566703,0.010497442355164428,0.0,0.019996341300345902,0.5304434973655038
semi,HMRC-4,flat,4,0.26180000000000003,0.7106,0.8028000000000001,4.0,1.443160104751587,38.239145278930664,0.013031692138782285,0.014341373713839277,0.008899438184514797,0.0,0.027253372923111863,1.5100065694497795,0.01142278179779339,0.012570768313830308,0.007800701506915902,0.0,0.023888634633114268,1.3235791156182979
semi,kRt-b2d2,hier,4,0.24459999999999998,0.6942999999999999,0.7979,4.0,2.0326202392578123,39.6592378616333,0.008799147685997778,0.018562731480038137,0.012581732790041324,0.0,0.06735664167875141,1.0864081863050676,0.0077127930090207944,0.016270951539476698,0.01102837503896203,0.0,0.05904069957567521,0.9522787619090318
semi,HMRC-9,flat,9,0.3137,0.7117,0.8087,9.0,2.4006184101104737,87.92781829833984,0.015518537302207315,0.013269325529204625,0.008729261137118022,0.0,0.5290190605144248,4.6078656163827105,0.013602597693087887,0.011631076648358964,0.007651534748009659,0.0,0.4637056516357049,4.038972293770957
semi,kRt-b3d2,hier,9,0.3153,0.7108,0.8083,9.0,2.4965688705444338,97.2606897354126,0.018253766734567432,0.01375045453794166,0.01325047168971727,0.0,0.04328412195188372,1.6883147654560064,0.016000131999455516,0.01205280481879634,0.01161455052940057,0.0,0.037940205700074725,1.4798731405266876
semi,HMRC-16,flat,16,0.3846,0.7479,0.8333,16.0,2.8327420234680174,173.00198078155518,0.010720307831401123,0.011243887228178663,0.00995364254933839,0.0,0.5356215461543643,6.429777548260407,0.009396764123888615,0.009855701700031277,0.008724752374709537,0.0,0.46949298546656226,5.635948513819984
semi,kRt-b4d2,hier,16,0.3945,0.7535999999999999,0.8469,16.0,2.901209259033203,182.4026107788086,0.010505950694725338,0.00856883889450607,0.008473488065725952,0.0,0.07168757570295593,9.169765019823842,0.009208871809293463,0.007510918452493011,0.007427339766026602,0.0,0.06283693062627692,8.03765342543412
timebatch,Mean,mean,1,0.045099999999999994,0.1364,0.21109999999999998,1.0,0.05254063606262207,11.224222183227539,0.005284411036246142,0.01130486620885006,0.006561249880929701,0.0,0.01615329481130968,0.8060275071206409,0.004631990500853818,0.009909152133255395,0.005751189094439515,0.0,0.014158987181403768,0.7065142606813278
timebatch,HMRC-3,flat,3,0.0672,0.18159999999999998,0.2665,3.0,1.8353521823883057,31.926608085632324,0.008136338242723203,0.005447476479985944,0.006846531968814581,0.0,0.11802933651602152,3.309974825257276,0.007131814916274823,0.004774923664311298,0.00600124986981879,0.0,0.10345727495729674,2.9013208555305963
timebatch,HMRC-4,flat,4,0.0847,0.2098,0.29619999999999996,4.0,1.932612943649292,39.30821418762207,0.004192254763250912,0.01170790331357412,0.013613412503850753,0.0,0.3264291521701325,2.8407855806358655,0.0036746733188135206,0.010262429731793532,0.011932682179627513,0.0,0.2861277674432954,2.490058349778778
timebatch,kRt-b2d2,hier,4,0.0842,0.20539999999999997,0.29989999999999994,4.0,2.960415744781494,42.62368679046631,0.005953990258641681,0.0075365774725667046,0.007635443667528439,0.0,0.8496766752812311,6.8046868206411135,0.005218902566632186,0.006606101422170261,0.0066927614629538465,0.0,0.7447744434913405,5.9645709802477755
timebatch,HMRC-9,flat,9,0.1686,0.3345,0.4345,9.0,2.229778003692627,98.5264778137207,0.007519973404208276,0.008433563896716519,0.007441438033068619,0.0,0.6074207513654896,18.017617308154186,0.006591547314553681,0.007392344688933291,0.006522708026579153,0.0,0.5324277636709153,15.793137900694939
timebatch,kRt-b3d2,hier,9,0.16640000000000002,0.3339,0.4326,9.0,3.084566593170166,99.65777397155762,0.006484597134749398,0.012526970902816058,0.012315640462436397,0.0,0.6554073277462384,11.048760219240373,0.005684000000000007,0.010980374128416577,0.010795134830098254,0.0,0.5744898524144927,9.684665335588246
timebatch,HMRC-16,flat,16,0.2696,0.4647,0.5682,16.0,3.078147268295288,192.8339958190918,0.008524963343029704,0.00943795528703116,0.008303613671167484,0.0,0.45899491057864317,30.83258565301557,0.007472459835957644,0.008272732559438844,0.007278438294029815,0.0,0.4023267779810711,27.0259529173532
timebatch,kRt-b4d2,hier,16,0.2619,0.45990000000000003,0.5584,16.0,3.4808352470397947,197.20239639282227,0.009195107394696376,0.006646427611882968,0.00868475676113039,0.0,0.963647229665272,42.376174985663,0.008059866996421217,0.005825850667499147,0.007612524942487874,0.0,0.8446740390494729,37.144355094592505
