strategy,seed,method,family,nominal_budget,n_reps_total,avg_reps_per_seg,build_time_s,route_us_per_query,recall@1,recall@5,recall@10
random,43,HMRC-4,flat,4,800,4.0,1.5211279392242432,37.81008720397949,0.0305,0.1065,0.1725
random,43,HMRC-9,flat,9,1800,9.0,1.7977981567382812,88.8519287109375,0.071,0.1885,0.287
random,43,HMRC-16,flat,16,3200,16.0,2.855072021484375,176.86593532562256,0.1225,0.2855,0.399
random,43,kRt-b2d2,hier,4,800,4.0,2.6384942531585693,42.6030158996582,0.0345,0.126,0.1895
random,43,kRt-b3d2,hier,9,1800,9.0,2.979231357574463,100.24940967559814,0.07,0.1995,0.298
random,43,kRt-b4d2,hier,16,3200,16.0,3.1327590942382812,199.7274160385132,0.143,0.309,0.422
random,44,Mean,mean,1,200,1.0,0.0557169914245605,9.767413139343262,0.025,0.0755,0.135
random,44,HMRC-3,flat,3,600,3.0,1.721121072769165,29.06620502471924,0.0315,0.1045,0.1745
random,44,HMRC-4,flat,4,800,4.0,1.7515499591827393,37.54711151123047,0.037,0.114,0.19
random,44,HMRC-9,flat,9,1800,9.0,2.954612970352173,95.38602828979492,0.067,0.1995,0.296
random,44,HMRC-16,flat,16,3200,16.0,2.97628116607666,183.9125156402588,0.1265,0.3005,0.415
random,44,kRt-b2d2,hier,4,800,4.0,2.8744688034057617,42.092084884643555,0.0355,0.119,0.191
random,44,kRt-b3d2,hier,9,1800,9.0,2.845679759979248,106.38892650604248,0.0725,0.189,0.2815
random,44,kRt-b4d2,hier,16,3200,16.0,3.0712950229644775,166.76652431488037,0.124,0.312,0.4185
random,45,Mean,mean,1,200,1.0,0.0512030124664306,10.415434837341309,0.0205,0.0725,0.129
random,45,HMRC-3,flat,3,600,3.0,1.630833864212036,32.44638442993164,0.0245,0.0955,0.1585
random,45,HMRC-4,flat,4,800,4.0,1.6628789901733398,37.167906761169434,0.0325,0.095,0.173
random,45,HMRC-9,flat,9,1800,9.0,1.7613329887390137,75.5774974822998,0.0655,0.185,0.2805
random,45,HMRC-16,flat,16,3200,16.0,2.1681480407714844,151.45599842071533,0.1275,0.2835,0.3965
random,45,kRt-b2d2,hier,4,800,4.0,2.1817209720611572,33.037424087524414,0.029,0.093,0.1745
random,45,kRt-b3d2,hier,9,1800,9.0,2.2019119262695312,76.7364501953125,0.068,0.19,0.2795
random,45,kRt-b4d2,hier,16,3200,16.0,2.4642140865325928,161.0274314880371,0.1365,0.3075,0.41
random,46,Mean,mean,1,200,1.0,0.0456781387329101,8.390545845031738,0.024,0.078,0.142
random,46,HMRC-3,flat,3,600,3.0,1.5801880359649658,27.242422103881836,0.025,0.0975,0.1765
random,46,HMRC-4,flat,4,800,4.0,1.7304608821868896,30.175089836120605,0.038,0.1165,0.19
random,46,HMRC-9,flat,9,1800,9.0,1.6730003356933594,85.45839786529541,0.0735,0.2,0.2895
random,46,HMRC-16,flat,16,3200,16.0,2.3322508335113525,165.50803184509277,0.1415,0.305,0.4065
random,46,kRt-b2d2,hier,4,800,4.0,2.28753399848938,34.2559814453125,0.035,0.107,0.175
random,46,kRt-b3d2,hier,9,1800,9.0,2.078639030456543,70.1209306716919,0.0685,0.191,0.2925
random,46,kRt-b4d2,hier,16,3200,16.0,2.123679876327514,133.06355476379397,0.145,0.3255,0.442
coherent,42,Mean,mean,1,200,1.0,0.05808520317077637,10.713458061218262,0.9425,1.0,1.0
coherent,42,HMRC-3,flat,3,572,2.86,2.4136109352111816,32.786011695861816,0.8395,0.9985,1.0
coherent,42,HMRC-4,flat,4,758,3.79,2.9644248485565186,43.32399368286133,0.8435,0.999,1.0
coherent,42,HMRC-9,flat,9,1675,8.375,2.6831672191619873,99.8009443283081,0.8425,0.996,1.0
coherent,42,HMRC-16,flat,16,2949,14.745,2.9055888652801514,185.6924295425415,0.864,0.997,1.0
coherent,42,kRt-b2d2,hier,4,755,3.775,3.786630868911743,44.892072677612305,0.832,0.9995,1.0
coherent,42,kRt-b3d2,hier,9,1670,8.35,4.106532096862793,99.59352016448975,0.8395,0.998,1.0
coherent,42,kRt-b4d2,hier,16,2930,14.65,4.2874650955200195,193.55392456054688,0.859,0.998,1.0
coherent,43,Mean,mean,1,200,1.0,0.05712389945983887,10.851025581359863,0.9465,1.0,1.0
coherent,43,HMRC-3,flat,3,554,2.77,2.4589269161224365,31.89849853515625,0.839,0.9995,1.0
coherent,43,HMRC-4,flat,4,731,3.655,2.673187017440796,39.66641426086426,0.8165,0.999,1.0
coherent,43,HMRC-9,flat,9,1615,8.075,3.413336992263794,95.2836275100708,0.833,0.999,1.0
coherent,43,HMRC-16,flat,16,2834,14.17,4.493271112442017,186.8685483932495,0.85,0.999,1.0
coherent,43,kRt-b2d2,hier,4,730,3.65,3.6418402194976807,35.75587272644043,0.829,1.0,1.0
coherent,43,kRt-b3d2,hier,9,1606,8.03,4.245941162109375,98.1060266494751,0.8345,0.998,1.0
coherent,43,kRt-b4d2,hier,16,2825,14.125,4.123708963394165,165.3125286102295,0.851,0.999,1.0
coherent,44,Mean,mean,1,200,1.0,0.08343338966369629,12.59911060333252,0.947,1.0,1.0
coherent,44,HMRC-3,flat,3,558,2.79,2.675017833709717,28.42843532562256,0.8335,0.9985,1.0
coherent,44,HMRC-4,flat,4,737,3.685,3.773442029953003,37.60850429534912,0.831,0.9975,1.0
coherent,44,HMRC-9,flat,9,1630,8.15,3.720054864883423,95.99494934082031,0.846,0.999,1.0
coherent,44,HMRC-16,flat,16,2864,14.32,3.860074996948242,191.06054306030273,0.864,0.9985,1.0
coherent,44,kRt-b2d2,hier,4,737,3.685,3.792781114578247,43.653011322021484,0.8265,0.9995,1.0
coherent,44,kRt-b3d2,hier,9,1620,8.1,4.333826065063477,82.25703239440918,0.8285,0.999,1.0
coherent,44,kRt-b4d2,hier,16,2843,14.215,4.27278995513916,180.44805526733398,0.8595,0.999,1.0
coherent,45,Mean,mean,1,200,1.0,0.08378767967224121,11.026501655578613,0.9445,0.9995,1.0
coherent,45,HMRC-3,flat,3,562,2.81,2.182255983352661,32.09853172302246,0.8515,0.9995,1.0
coherent,45,HMRC-4,flat,4,743,3.715,2.086319923400879,42.45257377624512,0.839,0.999,1.0
coherent,45,HMRC-9,flat,9,1638,8.19,2.5240330696105957,89.48040008544922,0.8405,0.9995,1.0
coherent,45,HMRC-16,flat,16,2870,14.35,3.8103790283203125,177.001953125,0.8665,0.9985,1.0
coherent,45,kRt-b2d2,hier,4,740,3.7,3.7267420291900635,42.925477027893066,0.837,0.9995,1.0
coherent,45,kRt-b3d2,hier,9,1628,8.14,3.964996099472046,100.15034675598145,0.843,0.9995,1.0
coherent,45,kRt-b4d2,hier,16,2843,14.215,4.293362855911255,182.3805570602417,0.8665,1.0,1.0
coherent,46,Mean,mean,1,200,1.0,0.05418705940246582,11.720061302185059,0.9525,1.0,1.0
coherent,46,HMRC-3,flat,3,554,2.77,2.245839834213257,26.96549892425537,0.8365,0.9995,1.0
coherent,46,HMRC-4,flat,4,731,3.655,2.9799349308013916,36.9105339050293,0.8385,1.0,1.0
coherent,46,HMRC-9,flat,9,1608,8.04,3.4689278602600098,102.23996639251709,0.8275,0.999,1.0
coherent,46,HMRC-16,flat,16,2816,14.08,3.5470547676086426,185.2731704711914,0.853,0.9995,1.0
coherent,46,kRt-b2d2,hier,4,727,3.635,4.50112509727478,46.48900032043457,0.834,0.9985,1.0
coherent,46,kRt-b3d2,hier,9,1596,7.98,4.089142084121704,97.28085994720459,0.8355,0.9995,1.0
coherent,46,kRt-b4d2,hier,16,2789,13.945,4.363348960876465,159.31856632232666,0.8445,0.996,1.0
timebatch,42,Mean,mean,1,200,1.0,0.03971505165100098,11.089920997619629,0.051,0.1485,0.218
timebatch,42,HMRC-3,flat,3,600,3.0,1.749464750289917,32.91797637939453,0.0795,0.179,0.27
timebatch,42,HMRC-4,flat,4,800,4.0,1.8320298194885254,43.80607604980469,0.085,0.216,0.3055
timebatch,42,HMRC-9,flat,9,1800,9.0,2.344834089279175,114.46046829223633,0.1775,0.343,0.4365
timebatch,42,HMRC-16,flat,16,3200,16.0,2.946375846862793,203.49454879760742,0.264,0.4735,0.5735
timebatch,42,kRt-b2d2,hier,4,800,4.0,3.005995750427246,47.666072845458984,0.0905,0.2045,0.299
timebatch,42,kRt-b3d2,hier,9,1800,9.0,3.2383880615234375,103.91056537628174,0.1595,0.3245,0.426
timebatch,42,kRt-b4d2,hier,16,3200,16.0,4.735385894775391,240.62085151672363,0.254,0.452,0.545
timebatch,43,Mean,mean,1,200,1.0,0.0708930492401123,10.470986366271973,0.0455,0.1265,0.2055
timebatch,43,HMRC-3,flat,3,600,3.0,2.0298068523406982,34.31856632232666,0.071,0.1825,0.2635
timebatch,43,HMRC-4,flat,4,800,4.0,1.9137828350067139,39.0850305557251,0.0885,0.213,0.291
timebatch,43,HMRC-9,flat,9,1800,9.0,2.0813748836517334,105.03196716308594,0.1625,0.3295,0.425
timebatch,43,HMRC-16,flat,16,3200,16.0,3.1384730339050293,215.57354927062988,0.281,0.4665,0.5655
timebatch,43,kRt-b2d2,hier,4,800,4.0,3.0242979526519775,38.59400749206543,0.089,0.2155,0.301
timebatch,43,kRt-b3d2,hier,9,1800,9.0,4.017773151397705,116.8748140335083,0.1595,0.323,0.424
timebatch,43,kRt-b4d2,hier,16,3200,16.0,4.038196086883545,219.83492374420166,0.2675,0.4575,0.557
timebatch,44,Mean,mean,1,200,1.0,0.04189419746398926,12.176871299743652,0.046,0.1455,0.216
timebatch,44,HMRC-3,flat,3,600,3.0,1.864950180053711,28.737545013427734,0.0645,0.184,0.2745
timebatch,44,HMRC-4,flat,4,800,4.0,2.419473886489868,38.9934778213501,0.0885,0.2115,0.304
timebatch,44,HMRC-9,flat,9,1800,9.0,3.1995718479156494,114.39800262451172,0.1665,0.3245,0.4385
timebatch,44,HMRC-16,flat,16,3200,16.0,3.8350181579589844,221.41146659851074,0.2765,0.473,0.577
timebatch,44,kRt-b2d2,hier,4,800,4.0,4.30747389793396,52.02937126159668,0.0775,0.2005,0.3
timebatch,44,kRt-b3d2,hier,9,1800,9.0,3.2562649250030518,96.0460901260376,0.1695,0.33,0.4255
timebatch,44,kRt-b4d2,hier,16,3200,16.0,3.557488203048706,217.7335023880005,0.262,0.4655,0.5645
timebatch,45,Mean,mean,1,200,1.0,0.040678977966308594,11.934518814086914,0.0465,0.1385,0.213
timebatch,45,HMRC-3,flat,3,600,3.0,1.7587339878082275,28.1599760055542,0.0615,0.1885,0.268
timebatch,45,HMRC-4,flat,4,800,4.0,1.9846961498260498,38.75303268432617,0.083,0.219,0.306
timebatch,45,HMRC-9,flat,9,1800,9.0,1.9370710849761963,82.24785327911377,0.1755,0.3435,0.4435
timebatch,45,HMRC-16,flat,16,3200,16.0,2.651933193206787,147.10450172424316,0.264,0.459,0.5555
timebatch,45,kRt-b2d2,hier,4,800,4.0,2.175800085067749,38.05196285247803,0.0855,0.21,0.3105
timebatch,45,kRt-b3d2,hier,9,1800,9.0,2.487009048461914,89.9266004562378,0.1735,0.3535,0.4535
timebatch,45,kRt-b4d2,hier,16,3200,16.0,2.6792099475860596,171.45860195159912,0.274,0.468,0.5675
timebatch,46,Mean,mean,1,200,1.0,0.06952190399169922,10.448813438415527,0.0365,0.123,0.203
timebatch,46,HMRC-3,flat,3,600,3.0,1.7738051414489746,35.498976707458496,0.0595,0.174,0.2565
timebatch,46,HMRC-4,flat,4,800,4.0,1.5130820274353027,35.9034538269043,0.0785,0.1895,0.2745
timebatch,46,HMRC-9,flat,9,1800,9.0,1.5860381126403809,76.49409770965576,0.161,0.332,0.429
timebatch,46,HMRC-16,flat,16,3200,16.0,2.8189361095428467,176.58591270446777,0.2625,0.4515,0.5695
timebatch,46,kRt-b2d2,hier,4,800,4.0,2.288511037826538,36.77701950073242,0.0785,0.1965,0.289
timebatch,46,kRt-b3d2,hier,9,1800,9.0,2.4233977794647217,91.53079986572266,0.17,0.3385,0.434
timebatch,46,kRt-b4d2,hier,16,3200,16.0,2.3938961029052734,136.36410236358643,0.252,0.4565,0.558
