strategy,method,real_recall@1_mean,pseudo_recall@1_mean,real_recall@5_mean,pseudo_recall@5_mean,real_recall@10_mean,pseudo_recall@10_mean,real_recall@20_mean,pseudo_recall@20_mean,e2e_hit10@nprobe1_mean,e2e_hit10@nprobe5_mean,e2e_hit10@nprobe10_mean,real_recall@1_std,pseudo_recall@1_std,real_recall@5_std,pseudo_recall@5_std,real_recall@10_std,pseudo_recall@10_std,real_recall@20_std,pseudo_recall@20_std,e2e_hit10@nprobe1_std,e2e_hit10@nprobe5_std,e2e_hit10@nprobe10_std,real_recall@1_ci95,pseudo_recall@1_ci95,real_recall@5_ci95,pseudo_recall@5_ci95,real_recall@10_ci95,pseudo_recall@10_ci95,real_recall@20_ci95,pseudo_recall@20_ci95,e2e_hit10@nprobe1_ci95,e2e_hit10@nprobe5_ci95,e2e_hit10@nprobe10_ci95
semi,HMRC-3,0.13615295480880646,0.26016666666666666,0.440324449594438,0.6683333333333333,0.5788914638856701,0.7536666666666667,0.6818269602162997,0.7895,0.13483333333333333,0.4363333333333333,0.5653333333333334,0.01933105518042051,0.015782374134880137,0.03530263008405734,0.021238722497677075,0.030726416139845072,0.024116038922951916,0.03187129061602254,0.018794946129212516,0.02101388429903747,0.032887434277141976,0.027323677156146687,0.021875148227785173,0.01785943759223989,0.03994868664497928,0.024033877016504137,0.03477021307396115,0.027289867065349412,0.03606576050449956,0.021268483725926508,0.02377944864326711,0.03721563530441353,0.03091965142824937
semi,HMRC-4,0.13933951332560832,0.2571666666666667,0.4431247585940517,0.6709999999999999,0.5757049053688683,0.7598333333333334,0.6786404016994979,0.8013333333333333,0.13583333333333333,0.4355,0.5630000000000001,0.01349146120764196,0.017736497211493986,0.032218280596017876,0.021500000000000005,0.03252934179552403,0.02171596954624253,0.028986572324592674,0.019750527419118053,0.02027519009364236,0.036273268394232096,0.03467347689517162,0.01526702556958722,0.020070736021492716,0.03645841663087813,0.024329540343650837,0.036810415514726004,0.024573932891944206,0.03280139445559675,0.02234982575124719,0.02294353745853309,0.041047067292723,0.039236732789568504
semi,Mean,0.09076863653920426,0.1125,0.3190421011973735,0.3661666666666667,0.4626303592120509,0.5255,0.6076670529161838,0.6681666666666667,0.08900000000000001,0.311,0.44933333333333336,0.009235221109673718,0.002179449471770339,0.01523636850429688,0.006211548384528084,0.018396843927355053,0.018993419913222592,0.02927464948894774,0.014056433876817149,0.009836157786453,0.023659036328641993,0.0179606050380641,0.01045063649164384,0.002466279248855114,0.017241574056559156,0.007029028698507682,0.020817988675648026,0.0214930779554721,0.033127384455236795,0.01590635232994805,0.011130660357768534,0.02677271994649284,0.020324337900928323
semi,kRt-b2d2,0.13837388953263804,0.2505,0.4420625724217844,0.6601666666666667,0.5772499034376207,0.7528333333333332,0.6847238315952104,0.7993333333333333,0.1355,0.4363333333333333,0.5638333333333333,0.018114906759628267,0.009340770846134711,0.033459804955855814,0.03265475973473593,0.036212437201494856,0.021681405243510702,0.03269274758502546,0.021623675296612632,0.023146273998205416,0.037527767497325656,0.03722006627255432,0.020498946736272047,0.010570077262410788,0.037863333700659633,0.036952339273417796,0.04097823031793913,0.024534819701350526,0.03699532657277536,0.024469492116601994,0.026192474746257435,0.042466666666666646,0.0421184699521613
timebatch,HMRC-3,0.05533024333719583,0.06766666666666667,0.17207415990730013,0.18100000000000002,0.2566628041714948,0.26366666666666666,0.373117033603708,0.3815,0.05566666666666666,0.16533333333333333,0.247,0.0,0.014020817855365408,0.0,0.012757350822173079,0.0,0.02013289182738867,0.0,0.021112792330717448,0.0038188130791298692,0.0066583281184793945,0.012619429464123944,0.0,0.015866049007585703,0.0,0.014436301465403116,0.0,0.022782511811572596,0.0,0.023891373617549398,0.004321393808072168,0.007534607561851588,0.01428022875633765
timebatch,HMRC-4,0.0660486674391657,0.07383333333333333,0.19206257242178448,0.19033333333333333,0.2731749710312862,0.27366666666666667,0.3823870220162225,0.39033333333333337,0.06933333333333334,0.19600000000000004,0.27899999999999997,0.0,0.010004165798972618,0.0,0.008005206639015225,0.0,0.010598742063723061,0.0,0.016615755575156148,0.0062516664445036825,0.007365459931328124,0.010828203913853848,0.0,0.011320779321426798,0.0,0.009058744087589879,0.0,0.011993605703781362,0.0,0.01880249747004664,0.0070744265570511855,0.008334802537153083,0.012253266231227211
timebatch,Mean,0.07473928157589803,0.041666666666666664,0.24942062572421783,0.11733333333333333,0.36587485515643103,0.1935,0.5,0.30016666666666664,0.07616666666666666,0.25066666666666665,0.36633333333333334,0.0,0.006251666444503682,0.0,0.011339459128782701,0.0,0.005074445782546114,0.0,0.01365955099310859,0.002309401076758503,0.003752776749732564,0.0075718777944003765,0.0,0.007074426557051184,0.0,0.012831805969716207,0.0,0.005742275971540674,0.0,0.015457237068046102,0.0026133333333333334,0.0042466666666666625,0.008568386338421295
timebatch,kRt-b2d2,0.06102742371572036,0.07483333333333334,0.17072228659714175,0.18416666666666667,0.2526071842410197,0.26933333333333337,0.3643298570876787,0.39399999999999996,0.0605,0.17183333333333337,0.24916666666666668,0.004396505383480964,0.007505553499465138,0.00869222336073219,0.008251262529657716,0.00378815087793221,0.015766525721709678,0.0062153476406929765,0.011651180197731027,0.0013228756555322965,0.002516611478423571,0.003329164059239679,0.004975114190626892,0.008493333333333337,0.009836176694463164,0.009337182539598223,0.004286696261045954,0.017841503424443912,0.007033327961583943,0.013184551566132217,0.0014969747270189091,0.0028478139764465593,0.0037673037809257738
